Niveau de vie Commune,Niveau de vie Département,DEPCOM,PTOT,Nom_commune,Code_postal,coordonnees_gps,lng,lat
25070,,01228,648.0,MAILLAT,1430.0,"46.120131816,5.528443347",46.120131816,5.528443347
22720,,01229,1240.0,MALAFRETAZ,1340.0,"46.328995834,5.143009412",46.328995834,5.143009412
19880,,01230,320.0,MANTENAY MONTLIN,1560.0,"46.430174586,5.106638908",46.430174586,5.106638908
23180,,01231,2012.0,MANZIAT,1570.0,"46.364247112,4.902989911",46.364247112,4.902989911
23180,,01232,2291.0,MARBOZ,1851.0,"46.343877245,5.24375592",46.343877245,5.24375592
24480,,01233,134.0,MARCHAMP,1680.0,"45.77399082,5.55054354",45.77399082,5.55054354
23140,,01234,175.0,MARIGNIEU,1300.0,"45.801447694,5.715805868",45.801447694,5.715805868
22350,,01235,1207.0,MARLIEUX,1240.0,"46.055368436,5.074409772",46.055368436,5.074409772
22510,,01236,1019.0,MARSONNAS,1340.0,"46.340668542,5.064185832",46.340668542,5.064185832
22180,,01237,1720.0,MARTIGNAT,1100.0,"46.202593204,5.61376153",46.202593204,5.61376153
26610,,01238,2650.0,MASSIEUX,1600.0,"45.909282243,4.826875301",45.909282243,4.826875301
23340,,01239,628.0,MASSIGNIEU DE RIVES,1300.0,"45.757141127,5.762888041",45.757141127,5.762888041
23990,,01240,658.0,MATAFELON GRANGES,1580.0,"46.256460485,5.539445096",46.256460485,5.539445096
23990,,01240,658.0,MATAFELON GRANGES,1580.0,"46.256460485,5.539445096",46.256460485,5.539445096
24470,,01241,1368.0,MEILLONNAS,1370.0,"46.245164982,5.336325687",46.245164982,5.336325687
16380,,01242,134.0,MERIGNAT,1450.0,"46.065000464,5.442093704",46.065000464,5.442093704
25620,,01243,1256.0,MESSIMY SUR SAONE,1480.0,"46.04728803,4.759551775",46.04728803,4.759551775
23240,,01244,7871.0,MEXIMIEUX,1800.0,"45.906490344,5.203567359",45.906490344,5.203567359
23550,,01245,934.0,BOHAS MEYRIAT RIGNAT,1250.0,"46.14240142,5.378302588",46.14240142,5.378302588
23550,,01245,934.0,BOHAS MEYRIAT RIGNAT,1250.0,"46.14240142,5.378302588",46.14240142,5.378302588
23550,,01245,934.0,BOHAS MEYRIAT RIGNAT,1250.0,"46.14240142,5.378302588",46.14240142,5.378302588
22520,,01246,2209.0,MEZERIAT,1660.0,"46.242427918,5.047836407",46.242427918,5.047836407
29130,,01247,353.0,MIJOUX,1410.0,"46.361563083,6.008141903",46.361563083,6.008141903
29130,,01247,353.0,MIJOUX,1170.0,"46.361563083,6.008141903",46.361563083,6.008141903
27690,,01248,2147.0,MIONNAY,1390.0,"45.895925975,4.924322242",45.895925975,4.924322242
24990,,01249,10075.0,MIRIBEL,1700.0,"45.844720633,4.940785036",45.844720633,4.940785036
24990,,01249,10075.0,MIRIBEL,1700.0,"45.844720633,4.940785036",45.844720633,4.940785036
24990,,01249,10075.0,MIRIBEL,1700.0,"45.844720633,4.940785036",45.844720633,4.940785036
25830,,01250,2195.0,MISERIEUX,1600.0,"45.976356834,4.810746584",45.976356834,4.810746584
25100,,01252,801.0,MOGNENEINS,1140.0,"46.144555689,4.82071103",46.144555689,4.82071103
26020,,01254,2040.0,MONTAGNAT,1250.0,"46.168529382,5.279365371",46.168529382,5.279365371
21840,,01255,634.0,MONTAGNIEU,1470.0,"45.799677812,5.464453819",45.799677812,5.464453819
27200,,01257,354.0,MONTANGES,1200.0,"46.17325992,5.790043812",46.17325992,5.790043812
25550,,01258,1231.0,MONTCEAUX,1090.0,"46.096201232,4.80371646",46.096201232,4.80371646
24200,,01259,706.0,MONTCET,1310.0,"46.219581293,5.111362841",46.219581293,5.111362841
26640,,01260,305.0,LE MONTELLIER,1800.0,"45.928791326,5.071383306",45.928791326,5.071383306
27400,,01261,669.0,MONTHIEUX,1390.0,"45.962496016,4.9457798660000005",45.962496016,4.9457798660000005
22480,,01262,7048.0,MONTLUEL,1120.0,"45.88696826,5.006439066",45.88696826,5.006439066
22480,,01262,7048.0,MONTLUEL,1120.0,"45.88696826,5.006439066",45.88696826,5.006439066
22480,,01262,7048.0,MONTLUEL,1120.0,"45.88696826,5.006439066",45.88696826,5.006439066
